"## Vehicle"
"Name","Description","DistUnit","FuelUnit","ConsumptionUnit","ImportCSVDateFormat","VIN","Insurance","Plate","Make","Model","Year","TankCount","Tank1Type","Tank2Type","Active","Tank1Capacity","Tank2Capacity","FuelUnitTank2","FuelConsumptionTank2"
"MyCar","","0","0","3","yyyy-MM-dd","KZYXW123ABC123456","United Insurance","","Toyota","Corolla","2013","1","100","0","1","45.0","0.0","0","0"
"## Log"
"Data","Odo (km)","Fuel (litres)","Full","Price (optional)","km/l (optional)","latitude (optional)","longitude (optional)","City (optional)","Notes (optional)","Missed","TankNumber","FuelType","VolumePrice","StationID (optional)","ExcludeDistance","UniqueId","TankCalc"
"2021-12-31 14:30","8056.0","32.73","1","3605.86","13.02","0.0","0.0",,"","0","1","0","110.17","0","0.0","364","0.0"
"2021-12-30 10:30","7630.0","35.28","1","3863.86","14.27","18.49238","73.83406","Indian Oil - Pune","","0","1","0","109.52","183165","0.0","365","0.0"
"2021-12-15 10:30","7127.0","22.04","1","2120.68","16.16","15.36484","74.17206","No name - Sangod","","0","1","0","96.22","277926","0.0","366","0.0"
"## CostCategories"
"CostTypeID","Name","priority","color"
"1","Service","0",""
"2","Maintenance","0",""
"4","Registration","0",""
"5","Parking","0",""
"6","Wash","0",""
"7","Tolls","0",""
"8","Tickets/Fines","0",""
"9","Tuning","0",""
"31","Insurance","0",""
"## Costs"
"CostTitle","Date","Odo","CostTypeID","Notes","Cost","flag","idR","read","RemindOdo","RemindDate","isTemplate","RepeatOdo","RepeatMonths","isIncome","UniqueId"
"Fastag","2020-12-10 11:07","0","7","","35.0","0","0","1","0","2011-01-01","0","0","0","0","239"
"Fastag","2020-12-11 12:30","0","7","","75.0","0","0","1","0","2011-01-01","0","0","0","0","240"
"Car Wash","2020-11-30 09:30","20","4","","0.0","0","0","1","0","2011-01-01","0","0","0","0","241"
"Fastag","2021-12-25 23:20","0","7","Toll Fastag Order #892115852 38071755187","100","0","0","1","0","2011-01-01","0","0","0","0","242"
"Fastag","2021-12-25 17:29","0","7","Toll Fastag Order #891524834 38064372089","100","0","0","1","0","2011-01-01","0","0","0","0","243"
"Fastag","2021-12-25 16:37","0","7","Toll Fastag Order #891412370 38063252727","30","0","0","1","0","2011-01-01","0","0","0","0","244"
"Fastag","2021-12-25 15:53","0","7","Toll Fastag Order #891298156 38062444776","75","0","0","1","0","2011-01-01","0","0","0","0","245"
"Fastag","2021-12-25 15:10","0","7","Toll Fastag Order #891209929 38061712019","80","0","0","1","0","2011-01-01","0","0","0","0","246"
"Fastag","2021-12-25 14:12","0","7","Toll Fastag Order #891091560 38060663415","80","0","0","1","0","2011-01-01","0","0","0","0","247"
"Fastag","2021-12-25 13:17","0","7","Toll Fastag Order #890978608 38059606012","70","0","0","1","0","2011-01-01","0","0","0","0","248"
"Fastag","2021-12-25 23:20","0","7","Toll Fastag Order #892115852 38071755187","100","0","0","1","0","2011-01-01","0","0","0","0","249"
"Fastag","2021-12-25 17:29","0","7","Toll Fastag Order #891524834 38064372089","100","0","0","1","0","2011-01-01","0","0","0","0","250"
"Fastag","2021-12-25 16:37","0","7","Toll Fastag Order #891412370 38063252727","30","0","0","1","0","2011-01-01","0","0","0","0","251"
"Fastag","2021-12-25 15:53","0","7","Toll Fastag Order #891298156 38062444776","75","0","0","1","0","2011-01-01","0","0","0","0","252"
"Fastag","2021-12-25 15:10","0","7","Toll Fastag Order #891209929 38061712019","80","0","0","1","0","2011-01-01","0","0","0","0","253"
"Fastag","2021-12-25 14:12","0","7","Toll Fastag Order #891091560 38060663415","80","0","0","1","0","2011-01-01","0","0","0","0","254"
"Fastag","2021-12-25 13:17","0","7","Toll Fastag Order #890978608 38059606012","70","0","0","1","0","2011-01-01","0","0","0","0","255"
"Fastag","2021-12-25 23:20","0","7","Toll Fastag Order #892115852 38071755187","100","0","0","1","0","2011-01-01","0","0","0","0","256"
"Fastag","2021-12-25 17:29","0","7","Toll Fastag Order #891524834 38064372089","100","0","0","1","0","2011-01-01","0","0","0","0","257"
"Fastag","2021-12-25 16:37","0","7","Toll Fastag Order #891412370 38063252727","30","0","0","1","0","2011-01-01","0","0","0","0","258"
"Fastag","2021-12-25 15:53","0","7","Toll Fastag Order #891298156 38062444776","75","0","0","1","0","2011-01-01","0","0","0","0","259"
"Fastag","2021-12-25 15:10","0","7","Toll Fastag Order #891209929 38061712019","80","0","0","1","0","2011-01-01","0","0","0","0","260"
"Fastag","2021-12-25 14:12","0","7","Toll Fastag Order #891091560 38060663415","80","0","0","1","0","2011-01-01","0","0","0","0","261"
"Fastag","2021-12-25 13:17","0","7","Toll Fastag Order #890978608 38059606012","70","0","0","1","0","2011-01-01","0","0","0","0","262"
"## FavStations"
"NameBrand","Latitude","Longitude","StationID","Description","CountryCode"
"No name","44.99936","-93.23618","223378","No name","USA"
"Krogers","35.91301","-84.08804","311076","Krogers","USA"
"## Pictures"
"Filename","Note","Type","target_id"
"JPEG_20210127_113053_6983821725393619206.jpg",,"1","377"
"JPEG_20210913_164718_5521097142847126647.jpg",,"1","371"
"JPEG_20210913_164724_5280965949089464412.jpg",,"1","371"
"## Category"
"IdCategory","Name"
"1","Private"
"2","Work"
"## TripLog"
"title","StartName","StartLat","StartLong","StartDate","StartOdo","EndName","EndLat","EndLong","EndDate","EndOdo","TripCost","TripCategory","TripCostKm","TripNote","TripDist","TripLogFile","TripAvgSpeed","TripTopSpeed","TripDuration","TripShowLog"
